question,retrieval_rating,response_rating,chroma_time,retrieval_time,gemini_time,response_time
Điều kiện để đăng ký kết hôn tại Việt Nam là gì?,95%,0%,1.1278300285339355,6.973337650299072,6.973337650299072,6.973337650299072
Quy trình ly hôn đơn phương được thực hiện như thế nào?,75%,90%,0.12973356246948242,9.028453826904297,9.028453826904297,9.028453826904297
Có thể kết hôn với người nước ngoài tại Việt Nam không?,95%,95%,0.14425110816955566,35.76966691017151,35.76966691017151,35.76966691017151
Hôn nhân đồng giới có được pháp luật công nhận không?,100%,100%,0.1325068473815918,4.044677734375,4.044677734375,4.044677734375
Người chưa đủ 18 tuổi có thể kết hôn không?,100%,100%,0.1094965934753418,2.915745735168457,2.915745735168457,2.915745735168457
"Sau khi ly hôn, ai có quyền nuôi con?",95%,95%,0.13601946830749512,35.558966398239136,35.558966398239136,35.558966398239136
Thời gian giải quyết thủ tục ly hôn mất bao lâu?,30%,95%,0.06142902374267578,5.521360635757446,5.521360635757446,5.521360635757446
Có thể yêu cầu tòa án hủy hôn nhân trái pháp luật không?,100%,95%,0.14322519302368164,6.673969984054565,6.673969984054565,6.673969984054565
Chế độ tài sản theo thỏa thuận trước hôn nhân có hợp pháp không?,85%,100%,0.1395857334136963,3.339975118637085,3.339975118637085,3.339975118637085
Thủ tục nhận con nuôi tại Việt Nam như thế nào?,90%,75%,0.08471488952636719,7.628279209136963,7.628279209136963,7.628279209136963
Những trường hợp không được kết hôn theo pháp luật Việt Nam?,100%,95%,0.12246441841125488,66.44752097129822,66.44752097129822,66.44752097129822
Thủ tục thay đổi họ cho con sau ly hôn?,60%,95%,0.1423017978668213,6.473987817764282,6.473987817764282,6.473987817764282
Quy định về quyền thăm nom con sau khi ly hôn?,0%,95%,0.13898515701293945,35.9192214012146,35.9192214012146,35.9192214012146
Điều kiện để nhập quốc tịch Việt Nam là gì?,95%,95%,0.13811945915222168,6.197646617889404,6.197646617889404,6.197646617889404
Người nước ngoài có thể giữ hai quốc tịch khi nhập quốc tịch Việt Nam không?,100%,75%,0.1116037368774414,3.17930006980896,3.17930006980896,3.17930006980896
Quy trình từ bỏ quốc tịch Việt Nam cần những giấy tờ gì?,75%,95%,0.11930131912231445,67.2605631351471,67.2605631351471,67.2605631351471
Trẻ em sinh ra tại Việt Nam có được cấp quốc tịch Việt Nam không?,95%,95%,0.14410686492919922,4.481751441955566,4.481751441955566,4.481751441955566
Thời gian xét duyệt đơn xin nhập quốc tịch mất bao lâu?,0%,95%,0.13315486907958984,6.091342926025391,6.091342926025391,6.091342926025391
Quy trình cấp giấy chứng nhận quốc tịch Việt Nam?,20%,75%,0.10672998428344727,37.40900683403015,37.40900683403015,37.40900683403015
Người Việt Nam có thể nhập quốc tịch nước ngoài mà không mất quốc tịch Việt Nam không?,95%,90%,0.14999628067016602,4.764624357223511,4.764624357223511,4.764624357223511
Trường hợp nào người nước ngoài có thể nhập tịch Việt Nam mà không cần từ bỏ quốc tịch cũ?,50%,95%,0.14350104331970215,4.191234111785889,4.191234111785889,4.191234111785889
Có thể xin quốc tịch Việt Nam nếu có cha hoặc mẹ là người Việt Nam không?,95%,95%,0.14545869827270508,34.82043790817261,34.82043790817261,34.82043790817261
Có thể thay đổi quốc tịch của trẻ em theo yêu cầu của cha mẹ không?,0%,85%,0.05504751205444336,3.9896161556243896,3.9896161556243896,3.9896161556243896
Điều kiện để khôi phục quốc tịch Việt Nam?,0%,85%,0.05196523666381836,4.04889178276062,4.04889178276062,4.04889178276062
Thủ tục cấp hộ chiếu Việt Nam lần đầu cho người đã có quốc tịch?,95%,95%,0.05599355697631836,6.804623603820801,6.804623603820801,6.804623603820801
Điều kiện để công dân Việt Nam định cư ở nước ngoài được cấp lại quốc tịch?,90%,95%,0.07699465751647949,67.1243224143982,67.1243224143982,67.1243224143982
Có thể từ bỏ quốc tịch Việt Nam nhưng vẫn giữ hộ khẩu không?,0%,100%,0.07690286636352539,4.0941362380981445,4.0941362380981445,4.0941362380981445
Công dân Việt Nam có quyền từ chối nhập quốc tịch nước ngoài khi được cấp không?,85%,100%,0.07999086380004883,3.925067901611328,3.925067901611328,3.925067901611328
Trường hợp nào mất quốc tịch Việt Nam mà không cần đơn từ bỏ?,85%,95%,0.07689905166625977,34.74036407470703,34.74036407470703,34.74036407470703
Quy định về nhập tịch đối với người không có quốc tịch?,85%,95%,0.07685589790344238,7.536358594894409,7.536358594894409,7.536358594894409
Có thể khiếu nại nếu bị từ chối nhập quốc tịch không?,85%,75%,0.060730934143066406,5.176920175552368,5.176920175552368,5.176920175552368
Có thể nhập quốc tịch Việt Nam khi có vợ/chồng là người Việt không?,0%,95%,0.08217525482177734,66.32740211486816,66.32740211486816,66.32740211486816
